2026-02-09 02:35:09 | [SP500] | M5 | candle=2026-02-09 02:30:00 | O=6951.15 H=6957.02 L=6949.4 C=6956.15 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=True | short_sig=False | action=BUY | lots=1.4 | sl=6949.4 | tp=6969.65
2026-02-09 02:35:11 | EURUSD | M5 | candle=2026-02-09 02:30:00 | O=1.18302 H=1.18303 L=1.18277 C=1.18293 | bull_eng=False | bear_eng=True | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:40:03 | [SP500] | M5 | candle=2026-02-09 02:35:00 | O=6956.27 H=6956.65 L=6952.9 C=6953.15 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:40:03 | EURUSD | M5 | candle=2026-02-09 02:35:00 | O=1.1829 H=1.18293 L=1.18269 C=1.18276 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:45:04 | [SP500] | M5 | candle=2026-02-09 02:40:00 | O=6953.02 H=6954.02 L=6951.65 C=6952.15 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:45:04 | EURUSD | M5 | candle=2026-02-09 02:40:00 | O=1.18276 H=1.1828 L=1.18252 C=1.1828 | bull_eng=False | bear_eng=False | hammer=True | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:50:05 | [SP500] | M5 | candle=2026-02-09 02:45:00 | O=6952.09 H=6952.9 L=6947.9 C=6949.46 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:50:05 | EURUSD | M5 | candle=2026-02-09 02:45:00 | O=1.18279 H=1.18296 L=1.18274 C=1.18275 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=True | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:55:06 | [SP500] | M5 | candle=2026-02-09 02:50:00 | O=6949.4 H=6950.65 L=6947.9 C=6948.52 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:55:06 | EURUSD | M5 | candle=2026-02-09 02:50:00 | O=1.18278 H=1.18304 L=1.18275 C=1.18286 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:00:07 | [SP500] | M5 | candle=2026-02-09 02:55:00 | O=6948.4 H=6951.52 L=6947.9 C=6949.4 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=True | short_sig=False | action=BUY | lots=6.3 | sl=6947.9 | tp=6952.4
2026-02-09 03:00:07 | EURUSD | M5 | candle=2026-02-09 02:55:00 | O=1.18291 H=1.18308 L=1.1828 C=1.18304 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:05:08 | [SP500] | M5 | candle=2026-02-09 03:00:00 | O=6949.52 H=6949.77 L=6946.15 C=6946.9 | bull_eng=False | bear_eng=True | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:05:08 | EURUSD | M5 | candle=2026-02-09 03:00:00 | O=1.18304 H=1.18319 L=1.18295 C=1.18307 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:10:09 | [SP500] | M5 | candle=2026-02-09 03:05:00 | O=6946.9 H=6948.46 L=6944.65 C=6948.15 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:10:09 | EURUSD | M5 | candle=2026-02-09 03:05:00 | O=1.18306 H=1.18307 L=1.1827 C=1.18278 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:15:00 | [SP500] | M5 | candle=2026-02-09 03:10:00 | O=6948.15 H=6948.65 L=6945.15 C=6945.52 | bull_eng=False | bear_eng=True | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:15:01 | EURUSD | M5 | candle=2026-02-09 03:10:00 | O=1.1828 H=1.18292 L=1.1827 C=1.18274 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:20:02 | [SP500] | M5 | candle=2026-02-09 03:15:00 | O=6945.65 H=6947.27 L=6944.15 C=6947.27 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:20:02 | EURUSD | M5 | candle=2026-02-09 03:15:00 | O=1.18274 H=1.18303 L=1.1827 C=1.18285 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=True | short_sig=False | action=BUY | lots=0.28 | sl=1.18252 | tp=1.1835099999999998
2026-02-09 03:25:03 | [SP500] | M5 | candle=2026-02-09 03:20:00 | O=6947.15 H=6948.65 L=6945.4 C=6947.27 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:25:03 | EURUSD | M5 | candle=2026-02-09 03:20:00 | O=1.18286 H=1.18292 L=1.18266 C=1.18278 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:30:04 | [SP500] | M5 | candle=2026-02-09 03:25:00 | O=6947.15 H=6947.9 L=6944.52 C=6944.59 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:30:04 | EURUSD | M5 | candle=2026-02-09 03:25:00 | O=1.1828 H=1.1828 L=1.18245 C=1.18264 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:35:05 | [SP500] | M5 | candle=2026-02-09 03:30:00 | O=6944.65 H=6948.15 L=6944.65 C=6946.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:35:05 | EURUSD | M5 | candle=2026-02-09 03:30:00 | O=1.18264 H=1.1832 L=1.18259 C=1.18316 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=True | short_sig=False | action=BUY | lots=0.13 | sl=1.18245 | tp=1.18458
